loss,mean_absolute_error,val_loss,val_mean_absolute_error
54.85586166381836,54.85586166381836,50.22305679321289,50.22305679321289
50.71725082397461,50.71725082397461,46.0649299621582,46.0649299621582
49.93532180786133,49.93532180786133,47.97734069824219,47.97734069824219
49.37747573852539,49.37747573852539,51.95063400268555,51.95063400268555
49.124908447265625,49.124908447265625,46.549564361572266,46.549564361572266
48.8632926940918,48.8632926940918,46.8951530456543,46.8951530456543
48.63032531738281,48.63032531738281,45.49853515625,45.49853515625
48.445011138916016,48.445011138916016,46.13753128051758,46.13753128051758
48.22142028808594,48.22142028808594,49.01487350463867,49.01487350463867
48.09935760498047,48.09935760498047,46.788780212402344,46.788780212402344
47.890357971191406,47.890357971191406,49.004737854003906,49.004737854003906
47.7238655090332,47.7238655090332,47.1816291809082,47.1816291809082
47.652862548828125,47.652862548828125,45.80192184448242,45.80192184448242
47.51906967163086,47.51906967163086,50.5756721496582,50.5756721496582
47.537906646728516,47.537906646728516,45.58328628540039,45.58328628540039
47.36606979370117,47.36606979370117,44.699710845947266,44.699710845947266
47.193782806396484,47.193782806396484,47.64364242553711,47.64364242553711
47.35773849487305,47.35773849487305,46.6015510559082,46.6015510559082
47.27985382080078,47.27985382080078,46.34333801269531,46.34333801269531
47.25156784057617,47.25156784057617,47.418209075927734,47.418209075927734
46.977569580078125,46.977569580078125,48.082942962646484,48.082942962646484
47.29741287231445,47.29741287231445,46.32350540161133,46.32350540161133
47.0391845703125,47.0391845703125,44.877864837646484,44.877864837646484
47.06721115112305,47.06721115112305,46.39652633666992,46.39652633666992
46.987060546875,46.987060546875,47.191001892089844,47.191001892089844
46.89512634277344,46.89512634277344,47.06514358520508,47.06514358520508
46.89107894897461,46.89107894897461,45.474876403808594,45.474876403808594
46.832942962646484,46.832942962646484,48.927635192871094,48.927635192871094
46.734676361083984,46.734676361083984,48.9677619934082,48.9677619934082
46.741851806640625,46.741851806640625,50.46501159667969,50.46501159667969
46.969398498535156,46.969398498535156,50.76021194458008,50.76021194458008
46.51407241821289,46.51407241821289,46.77070999145508,46.77070999145508
46.59646224975586,46.59646224975586,47.034523010253906,47.034523010253906
46.64116668701172,46.64116668701172,46.59937286376953,46.59937286376953
46.72789764404297,46.72789764404297,47.67374038696289,47.67374038696289
46.536651611328125,46.536651611328125,48.3375129699707,48.3375129699707
46.43257141113281,46.43257141113281,46.41159439086914,46.41159439086914
46.439693450927734,46.439693450927734,45.45599365234375,45.45599365234375
46.540245056152344,46.540245056152344,50.53781509399414,50.53781509399414
