Train_Mae,Test_Mae,Train_R,Test_R
16.688368282500615,31.705034516832573,0.8654930813009903,0.028937980123614
16.68170681060408,31.597912222121604,0.8657686503777653,0.0434059326201531
16.202438830910737,30.183678353119937,0.8671141402909841,0.1528131211757039
16.130286590955194,29.897578735815102,0.8674558335766231,0.1506799098961997
16.031408550568905,29.570121043227303,0.8683292651896426,0.1370832526479243
15.983828147684187,29.32425082935885,0.8683481944714777,0.1353849479383658
15.94534212076604,29.213475859668403,0.8684504305860786,0.1417196387180078
15.908179433946428,29.215191777385105,0.8692335608471543,0.1305956456941074
15.854231577920316,28.677497671198907,0.8704478656917648,0.1571149066047332
15.86434227431478,28.72558905681809,0.8699050318197099,0.1297386338944846
15.82353539774424,28.519551991963127,0.8698944516705943,0.1397611990318127
15.809365509664149,28.479441962668577,0.8691866752939675,0.120790868581323
15.793671386384132,28.36237224928897,0.8692431618170016,0.1240007635000397
15.749108617140656,27.952913609894,0.8699575337454326,0.1852910454868358
15.748154883676458,27.97370880458473,0.8703158064005988,0.166772362507093
15.748204891669149,28.35033855993401,0.8690713012157507,0.1230638826972716
15.756977917075051,28.437236648333432,0.8689302497284058,0.0905183821484603
15.737214657928996,28.288590724947884,0.8692165919302539,0.0948592374718352
